v Prey / Predator >,Sardine,Anchovy,Sprat,BlueWhiting,Whiting,Whiting<0.25,Mackerel,HorseMackerel,Boarfish,Pouting,Pouting<0.25,Sole,Sole<0.25,Seabass,Seabass<0.25,Hake,Hake<0.25,Anglerfish,Anglerfish<0.25,NorwayLobster,NorwayLobster<0.25,Cuttlefish,Cuttlefish<0.25,Squid,Squid<0.25,LesserSpottedDogfish,LesserSpottedDogfish<0.5,Albacore
Sardine,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.4,0.4,0.8,0,0.8,0.4,0.8,0.4,0.8,0.2,0.8,0,0.8,0.4,0,0.4,0,0,0,0.8
Anchovy,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.4,0.4,0.8,0,0.8,0.4,0.8,0.4,0.8,0.2,0.8,0,0.8,0.4,0,0.4,0,0,0,0.8
Sprat,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.4,0.4,0.8,0,0.8,0.4,0.8,0.4,0.8,0.2,0.8,0,0.8,0.4,0,0.4,0,0,0,0.8
BlueWhiting,0.4,0.4,0.4,0.8,0.8,0.4,0.4,0.4,0.8,0.8,0.4,0,0.4,0.8,0.4,0.8,0.4,0.4,0.4,0,0.4,0.8,0,0.8,0,0,0,0.4
Whiting,0.4,0.4,0.4,0.8,0.8,0.4,0.4,0.4,0.8,0.8,0.4,0,0.4,0.8,0.4,0.8,0.4,0.4,0.4,0,0.4,0.8,0,0.8,0,0,0,0.4
Whiting<0.25,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.4,0.4,0.8,0,0.8,0.4,0.8,0.4,0.8,0,0.8,0,0.8,0.4,0,0.4,0,0,0,0.8
Mackerel,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.4,0.4,0.8,0,0.8,0.4,0.8,0.4,0.8,0.2,0.8,0,0.8,0.4,0,0.4,0,0,0,0.8
HorseMackerel,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.4,0.4,0.8,0,0.8,0.4,0.8,0.4,0.8,0.2,0.8,0,0.8,0.4,0,0.4,0,0,0,0.8
Boarfish,0,0,0,0.2,0.2,0,0,0,0.2,0.2,0,0.2,0,0.2,0,0.2,0,0.2,0,0.2,0,0.2,0,0.2,0,0.2,0,0
Pouting,0.4,0.4,0.4,0.8,0.8,0.4,0.4,0.4,0.8,0.8,0.4,0,0.4,0.8,0.4,0.8,0.4,0.4,0.4,0,0.4,0.8,0,0.8,0,0,0,0.4
Pouting<0.25,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.4,0.4,0.8,0,0.8,0.4,0.8,0.4,0.8,0,0.8,0,0.8,0.4,0,0.4,0,0,0,0.8
Sole,0,0,0,0.4,0.4,0,0,0,0.4,0.4,0,0.8,0,0.4,0,0.4,0,0.8,0,0.8,0,0.8,0,0.4,0,0.8,0,0
Sole<0.25,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.4,0.4,0.8,0,0.8,0.4,0.8,0.4,0.8,0,0.8,0,0.8,0.4,0,0.4,0,0,0,0.8
Seabass,0.4,0.4,0.4,0.8,0.8,0.4,0.4,0.4,0.8,0.8,0.4,0,0.4,0.8,0.4,0.8,0.4,0.4,0.4,0,0.4,0.8,0,0.8,0,0,0,0.4
Seabass<0.25,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.4,0.4,0.8,0,0.8,0.4,0.8,0.4,0.8,0,0.8,0,0.8,0.4,0,0.4,0,0,0,0.8
Hake,0.4,0.4,0.4,0.8,0.8,0.4,0.4,0.4,0.8,0.8,0.4,0,0.4,0.8,0.4,0.8,0.4,0.4,0.4,0,0.4,0.8,0,0.8,0,0,0,0.4
Hake<0.25,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.4,0.4,0.8,0,0.8,0.4,0.8,0.4,0.8,0,0.8,0,0.8,0.4,0,0.4,0,0,0,0.8
Anglerfish,0,0,0,0.4,0.4,0,0,0,0.4,0.4,0,0.8,0,0.4,0,0.4,0,0.8,0,0.8,0,0.4,0,0.4,0,0.8,0,0
Anglerfish<0.25,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.4,0.4,0.8,0,0.8,0.4,0.8,0.4,0.8,0,0.8,0,0.8,0.4,0,0.4,0,0,0,0.8
NorwayLobster,0,0,0,0.2,0.2,0,0,0,0.2,0.2,0,0.4,0,0.2,0,0.2,0,0.4,0,0.4,0,0.2,0,0.2,0,0.4,0,0
NorwayLobster<0.25,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.4,0.4,0.8,0,0.8,0.4,0.8,0.4,0.8,0,0.8,0,0.8,0.4,0,0.4,0,0,0,0.8
Cuttlefish,0.4,0.4,0.4,0.8,0.8,0.4,0.4,0.4,0.8,0.8,0.4,0,0.4,0.8,0.4,0.8,0.4,0.4,0.4,0,0.4,0.8,0,0.8,0,0,0,0.4
Cuttlefish<0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Squid,0.4,0.4,0.4,0.8,0.8,0.4,0.4,0.4,0.8,0.8,0.4,0,0.4,0.8,0.4,0.8,0.4,0.4,0.4,0,0.4,0.8,0,0.8,0,0,0,0.4
Squid<0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LesserSpottedDogfish,0,0,0,0.4,0.4,0,0,0,0.4,0.4,0,0.8,0,0.4,0,0.4,0,0.8,0,0.8,0,0.4,0,0.4,0,0.8,0,0
LesserSpottedDogfish<0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albacore,0.8,0.8,0.8,0.4,0.4,0.8,0.8,0.8,0.4,0.4,0.8,0,0.8,0.4,0.8,0.4,0.8,0.2,0.8,0,0.8,0.4,0,0.4,0,0,0,0.8
MicroPhytoplankton,1,1,1,0.5,0.5,1,1,1,1,0.5,1,0,1,0.5,1,0.5,1,0,1,0,1,0.5,0,0.5,0,0,0,1
Diatoms,1,1,1,0.5,0.5,1,1,1,1,0.5,1,0,1,0.5,1,0.5,1,0,1,0,1,0.5,0,0.5,0,0,0,1
HeterotrophicFlagellates,1,1,1,0.5,0.5,1,1,1,1,0.5,1,0,1,0.5,1,0.5,1,0,1,0,1,0.5,0,0.5,0,0,0,1
Microzooplankton,1,1,1,0.5,0.5,1,1,1,1,0.5,1,0,1,0.5,1,0.5,1,0,1,0,1,0.5,0,0.5,0,0,0,1
Mesozooplankton,1,1,1,0.5,0.5,1,1,1,1,0.5,1,0,1,0.5,1,0.5,1,0,1,0,1,0.5,0,0.5,0,0,0,1
SuspensionFeeders,0,0,0,0.5,0.5,0,0,0,1,0.5,0,1,0,0.5,0,0.5,0,1,0,1,0,0.5,0,0.5,0,1,0,0
DepositFeeders,0,0,0,0.5,0.5,0,0,0,1,0.5,0,1,0,0.5,0,0.5,0,1,0,1,0,0.5,0,0.5,0,1,0,0
Meiobenthos,0,0,0,0.5,0.5,0,0,0,1,0.5,0,1,0,0.5,0,0.5,0,1,0,1,0,0.5,0,0.5,0,1,0,0
